epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
77,11460.5,1.28495,1.52488,1.15015,0.55695,0.3795,0.39744,0.26873,1.26648,1.26789,1.10921,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,11728.2,1.28234,1.51899,1.14899,0.55509,0.37905,0.3987,0.26953,1.26598,1.26575,1.10856,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,11994.1,1.28168,1.51516,1.14806,0.55248,0.38015,0.39948,0.27035,1.26539,1.26432,1.10755,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,12261.8,1.2792,1.51322,1.14729,0.54976,0.38211,0.40037,0.27082,1.26474,1.26233,1.10696,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,12526.4,1.27698,1.50445,1.14565,0.54308,0.38505,0.40083,0.27158,1.26393,1.26102,1.10617,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,12792.5,1.27515,1.49919,1.14499,0.54893,0.38264,0.40179,0.27184,1.26309,1.25936,1.1054,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,13058.1,1.27159,1.49048,1.14207,0.55057,0.38304,0.40225,0.2723,1.26265,1.25851,1.10477,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,13323,1.26937,1.48655,1.1419,0.55323,0.38157,0.4026,0.27256,1.2621,1.25757,1.10431,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,13586.5,1.26517,1.48334,1.14086,0.55907,0.3797,0.40308,0.2732,1.26162,1.25619,1.10376,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,13850.3,1.262,1.47475,1.1381,0.55301,0.38318,0.40398,0.27384,1.26032,1.25531,1.10266,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,14114.5,1.26246,1.47053,1.13808,0.56155,0.38042,0.40472,0.27457,1.25947,1.25411,1.1016,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,14378.9,1.25755,1.46184,1.13557,0.55909,0.38252,0.40561,0.27533,1.25893,1.25237,1.10135,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,14643.6,1.25396,1.45355,1.13409,0.56336,0.38018,0.40527,0.27499,1.25758,1.25081,1.10024,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,14908.2,1.25072,1.44857,1.13236,0.55948,0.38419,0.40585,0.27591,1.25621,1.24894,1.09914,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
