epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
107,28770,1.37752,0.82016,0.96396,0.72816,0.42549,0.47279,0.27281,1.27337,0.69421,0.92443,0.00725094,0.00725094,0.00725094
108,29042.3,1.3772,0.82004,0.96346,0.72768,0.42608,0.47266,0.27292,1.27313,0.69398,0.92426,0.00720439,0.00720439,0.00720439
109,29312.4,1.37782,0.82028,0.96334,0.73134,0.42564,0.47333,0.2731,1.27302,0.69374,0.92423,0.00715761,0.00715761,0.00715761
110,29581.5,1.37832,0.82068,0.96434,0.72938,0.42757,0.47358,0.2734,1.27291,0.69369,0.92419,0.00711059,0.00711059,0.00711059
111,29853.2,1.3788,0.81933,0.96359,0.73042,0.42722,0.47373,0.27345,1.27253,0.69353,0.92404,0.00706335,0.00706335,0.00706335
112,30123.3,1.37619,0.81816,0.96359,0.7296,0.42716,0.47377,0.27368,1.27239,0.69332,0.92394,0.00701588,0.00701588,0.00701588
113,30394.7,1.37679,0.81844,0.96362,0.73023,0.42627,0.47372,0.27391,1.27235,0.69325,0.9239,0.0069682,0.0069682,0.0069682
114,30666.4,1.37664,0.81776,0.96311,0.73117,0.42552,0.47408,0.2739,1.27206,0.693,0.92386,0.00692031,0.00692031,0.00692031
115,30946.2,1.3734,0.81602,0.96275,0.73239,0.42505,0.47409,0.27389,1.27208,0.69291,0.9239,0.00687222,0.00687222,0.00687222
116,31224.7,1.37621,0.81884,0.96318,0.73055,0.42532,0.47411,0.27399,1.2719,0.69287,0.92385,0.00682392,0.00682392,0.00682392
117,31507.8,1.37418,0.8165,0.96312,0.73283,0.42571,0.47451,0.2742,1.27182,0.69268,0.92378,0.00677543,0.00677543,0.00677543
118,31790,1.37487,0.81674,0.96232,0.73357,0.42492,0.47422,0.27418,1.27153,0.69232,0.92363,0.00672675,0.00672675,0.00672675
119,32074.5,1.37453,0.81747,0.96225,0.72959,0.4271,0.47401,0.27409,1.27131,0.69231,0.92346,0.00667789,0.00667789,0.00667789
120,32354.7,1.37351,0.81607,0.96251,0.73329,0.42581,0.47472,0.27434,1.27101,0.69198,0.92332,0.00662885,0.00662885,0.00662885
121,286.555,1.36656,0.80711,0.95901,0.73617,0.42608,0.47507,0.2746,1.27076,0.69171,0.92312,0.00657963,0.00657963,0.00657963
122,572.881,1.36971,0.81229,0.96124,0.73375,0.42651,0.47524,0.27484,1.27067,0.69135,0.92303,0.00653025,0.00653025,0.00653025
123,852.932,1.37158,0.81459,0.96163,0.73477,0.42562,0.47565,0.27504,1.27051,0.69124,0.92292,0.00648071,0.00648071,0.00648071
124,1128.76,1.37127,0.81301,0.96135,0.73719,0.42594,0.47576,0.27507,1.27037,0.69111,0.92288,0.00643101,0.00643101,0.00643101
125,1404.18,1.37126,0.81407,0.96133,0.73929,0.42445,0.47607,0.27544,1.27042,0.69091,0.92286,0.00638115,0.00638115,0.00638115
126,1679.06,1.37299,0.81437,0.96214,0.73514,0.42618,0.4759,0.27552,1.27032,0.69086,0.9228,0.00633115,0.00633115,0.00633115
127,1953.96,1.37141,0.81323,0.96203,0.73783,0.42421,0.4759,0.27564,1.27033,0.6906,0.92283,0.00628101,0.00628101,0.00628101
128,2226.92,1.37156,0.81287,0.96178,0.73164,0.42579,0.47556,0.2755,1.27023,0.69038,0.92296,0.00623074,0.00623074,0.00623074
129,2503.03,1.37109,0.81279,0.96149,0.73621,0.42447,0.47605,0.27558,1.26992,0.6903,0.92289,0.00618034,0.00618034,0.00618034
130,2782.44,1.36858,0.81056,0.96011,0.73545,0.42533,0.47627,0.2755,1.26991,0.69025,0.92283,0.00612981,0.00612981,0.00612981
131,3061.5,1.37091,0.81227,0.96124,0.73525,0.42602,0.47644,0.27562,1.26973,0.69004,0.92277,0.00607916,0.00607916,0.00607916
132,3337.89,1.36861,0.81024,0.96048,0.73649,0.4248,0.47609,0.27581,1.26966,0.68993,0.92272,0.0060284,0.0060284,0.0060284
133,3615.73,1.36655,0.80933,0.95985,0.73605,0.4237,0.47612,0.27582,1.26941,0.68998,0.92267,0.00597754,0.00597754,0.00597754
134,3891.1,1.37026,0.81171,0.96184,0.73232,0.42576,0.47597,0.27583,1.26939,0.68996,0.92264,0.00592657,0.00592657,0.00592657
135,4168.93,1.36722,0.80921,0.95984,0.72786,0.42707,0.47604,0.27603,1.26923,0.68994,0.92256,0.00587551,0.00587551,0.00587551
136,4446.19,1.36797,0.8103,0.96001,0.72629,0.42887,0.47594,0.27618,1.26906,0.68979,0.92249,0.00582435,0.00582435,0.00582435
137,4720.02,1.36871,0.8088,0.9591,0.72773,0.42779,0.4761,0.27612,1.26891,0.68953,0.92231,0.00577311,0.00577311,0.00577311
138,4998.43,1.36751,0.80818,0.95931,0.7291,0.4268,0.4764,0.27628,1.26885,0.68939,0.92214,0.00572179,0.00572179,0.00572179
139,5273.35,1.36538,0.80638,0.95851,0.72793,0.42716,0.47659,0.27659,1.26871,0.68927,0.92196,0.0056704,0.0056704,0.0056704
140,5548,1.36584,0.80836,0.95978,0.72919,0.42728,0.47656,0.27673,1.26854,0.6891,0.92186,0.00561894,0.00561894,0.00561894
141,5823.4,1.36412,0.80666,0.95835,0.72722,0.4282,0.47705,0.27693,1.26831,0.68907,0.9216,0.00556742,0.00556742,0.00556742
142,6099.7,1.36569,0.80755,0.95872,0.72846,0.42784,0.47696,0.27735,1.26821,0.68896,0.92142,0.00551584,0.00551584,0.00551584
143,6377.63,1.36427,0.80618,0.95895,0.73075,0.42717,0.47712,0.27721,1.26799,0.68873,0.92135,0.00546421,0.00546421,0.00546421
144,6657.74,1.36455,0.80603,0.95848,0.73339,0.42563,0.47718,0.27741,1.26785,0.68855,0.92133,0.00541253,0.00541253,0.00541253
145,6938.02,1.36261,0.8054,0.95836,0.7299,0.42651,0.47707,0.27764,1.26775,0.68842,0.92128,0.00536081,0.00536081,0.00536081
146,7217.91,1.36327,0.80566,0.95867,0.73409,0.42546,0.47754,0.27785,1.26765,0.68841,0.9213,0.00530906,0.00530906,0.00530906
147,7500.36,1.36136,0.8033,0.95722,0.73507,0.42407,0.47753,0.27771,1.26728,0.68815,0.92112,0.00525728,0.00525728,0.00525728
148,7782.06,1.3604,0.80187,0.95783,0.73353,0.42634,0.47738,0.27776,1.26715,0.68814,0.92114,0.00520548,0.00520548,0.00520548
149,8063,1.36017,0.8026,0.95723,0.73256,0.42762,0.47746,0.27762,1.267,0.68796,0.92099,0.00515366,0.00515366,0.00515366
150,8344.99,1.36557,0.8053,0.9583,0.73339,0.42611,0.47727,0.27772,1.26695,0.68785,0.92087,0.00510184,0.00510184,0.00510184
151,8626.61,1.36198,0.80382,0.95781,0.73234,0.42738,0.47722,0.27779,1.26679,0.6878,0.92073,0.00505,0.00505,0.00505
152,8909.36,1.36248,0.80299,0.95739,0.73187,0.42719,0.47748,0.27789,1.26664,0.68757,0.92059,0.00499816,0.00499816,0.00499816
153,9190.6,1.36067,0.80108,0.95728,0.73414,0.42764,0.4777,0.2781,1.26653,0.68728,0.9205,0.00494634,0.00494634,0.00494634
154,9470.2,1.35968,0.79988,0.95722,0.73664,0.42645,0.47786,0.27818,1.26636,0.68713,0.92049,0.00489452,0.00489452,0.00489452
155,9751.64,1.35996,0.80145,0.95681,0.73757,0.42648,0.47815,0.27838,1.26631,0.68706,0.92047,0.00484272,0.00484272,0.00484272
156,10033.7,1.35881,0.79924,0.95639,0.73698,0.42602,0.47816,0.27837,1.26631,0.68674,0.92029,0.00479094,0.00479094,0.00479094
157,10312.4,1.35911,0.80071,0.95654,0.73655,0.42583,0.47803,0.27841,1.26604,0.68669,0.92016,0.00473919,0.00473919,0.00473919
158,10593,1.35906,0.79926,0.95625,0.7363,0.42706,0.47817,0.27849,1.26597,0.68634,0.92002,0.00468747,0.00468747,0.00468747
159,10874.1,1.35948,0.80014,0.95629,0.733,0.42881,0.47843,0.27853,1.26586,0.68628,0.91985,0.00463579,0.00463579,0.00463579
160,11156.4,1.35919,0.7995,0.95633,0.73525,0.42837,0.47883,0.27869,1.2657,0.68628,0.91969,0.00458416,0.00458416,0.00458416
161,11437.9,1.35807,0.79991,0.95681,0.73354,0.42873,0.47881,0.2788,1.26555,0.68611,0.91969,0.00453258,0.00453258,0.00453258
162,11722.2,1.35642,0.79681,0.95548,0.73363,0.4279,0.47866,0.27903,1.26543,0.68602,0.91957,0.00448106,0.00448106,0.00448106
163,12007.1,1.35522,0.79637,0.9555,0.7372,0.42586,0.47918,0.27928,1.26514,0.68588,0.91937,0.0044296,0.0044296,0.0044296
164,12290.8,1.35594,0.7967,0.95495,0.73904,0.42511,0.47962,0.27926,1.26523,0.68556,0.91921,0.00437821,0.00437821,0.00437821
165,12572.8,1.35641,0.7958,0.9545,0.74195,0.42451,0.47951,0.27955,1.26512,0.68533,0.91904,0.00432689,0.00432689,0.00432689
166,12854.9,1.35439,0.79329,0.95388,0.74082,0.4251,0.47936,0.27958,1.26494,0.68495,0.9189,0.00427565,0.00427565,0.00427565
167,13138.5,1.35407,0.79373,0.95458,0.59726,0.42484,0.47941,0.27968,1.26481,0.68482,0.91881,0.00422449,0.00422449,0.00422449
168,13423.4,1.35488,0.79526,0.95447,0.59837,0.42456,0.47954,0.27968,1.26462,0.68487,0.91877,0.00417343,0.00417343,0.00417343
169,13706.7,1.3527,0.793,0.95422,0.59465,0.4261,0.47992,0.27979,1.26446,0.68478,0.91875,0.00412246,0.00412246,0.00412246
170,13990.5,1.35253,0.79273,0.95359,0.59559,0.42562,0.47988,0.27978,1.26416,0.68464,0.91862,0.0040716,0.0040716,0.0040716
